,Week,Season,Home_team,Away_team,Home_wins,Home_losses,Away_wins,Away_losses,Home_win,Home_ppg_for,Away_ppg_for,Home_ppg_against,Away_ppg_against,Home_ypg_for,Away_ypg_for,Home_ypg_against,Away_ypg_against,Home_TO_for_total,Away_TO_for_total,Home_TO_against_total,Away_TO_against_total,Home_TO_diff,Away_TO_diff
0,5,2014,PHI,LAR,3,1,1,2,1,30.5,18.666666666666668,26.0,28.333333333333332,367.5,368.3333333333333,391.25,342.3333333333333,9.0,6.0,5.0,3.0,4.0,3.0
0,5,2014,IND,BAL,2,2,3,1,1,34.0,25.75,23.75,15.0,444.0,394.25,356.0,342.75,5.0,3.0,7.0,4.0,-2.0,-1.0
0,5,2014,DET,BUF,3,1,2,2,0,21.25,19.75,15.5,18.75,363.25,320.75,267.25,337.75,6.0,3.0,5.0,8.0,1.0,-5.0
0,5,2014,NOR,TAM,1,3,1,3,1,23.75,18.0,27.5,29.75,425.75,290.75,396.0,387.75,7.0,10.0,1.0,6.0,6.0,4.0
0,5,2014,NYG,ATL,2,2,2,2,1,25.75,32.75,22.75,28.25,351.5,444.0,355.75,429.75,8.0,10.0,9.0,7.0,-1.0,3.0
0,5,2014,CAR,CHI,2,2,2,2,1,18.25,23.0,24.0,25.0,327.75,349.0,373.75,372.75,3.0,6.0,6.0,8.0,-3.0,-2.0
0,5,2014,DAL,HOU,3,1,3,1,1,28.75,21.75,21.5,16.75,383.75,340.0,379.75,367.75,7.0,7.0,8.0,9.0,-1.0,-2.0
0,5,2014,DEN,ARI,2,1,3,0,1,25.0,22.0,22.333333333333332,15.0,339.3333333333333,335.6666666666667,390.6666666666667,316.3333333333333,2.0,3.0,3.0,5.0,-1.0,-2.0
0,5,2014,SFO,KAN,2,2,2,2,1,22.0,25.5,22.25,19.75,350.75,352.5,287.25,338.0,5.0,5.0,9.0,3.0,-4.0,2.0
0,5,2014,LAC,NYJ,3,1,1,3,1,25.5,19.75,15.75,24.0,351.75,366.25,325.75,291.25,1.0,8.0,6.0,2.0,-5.0,6.0
0,5,2014,NWE,CIN,2,2,3,0,1,20.0,26.666666666666668,22.5,11.0,298.5,384.0,315.25,352.6666666666667,5.0,1.0,8.0,7.0,-3.0,-6.0
0,5,2014,WAS,SEA,1,3,2,1,0,23.75,27.666666666666668,27.25,22.0,415.25,356.6666666666667,324.25,321.3333333333333,9.0,3.0,4.0,3.0,5.0,0.0
0,6,2014,HOU,IND,3,2,3,2,0,20.8,31.2,17.4,21.6,338.0,441.6,385.4,342.2,8.0,9.0,12.0,10.0,-4.0,-1.0
0,6,2014,CLE,PIT,2,2,3,2,1,25.75,22.8,26.25,21.6,387.0,404.0,421.75,330.8,1.0,6.0,4.0,5.0,-3.0,1.0
0,6,2014,NYJ,DEN,1,4,3,1,0,15.8,29.0,25.4,21.75,323.2,396.5,320.8,346.75,10.0,4.0,3.0,3.0,7.0,1.0
0,6,2014,MIA,GNB,2,2,3,2,0,24.0,26.8,24.25,21.2,354.25,309.2,322.25,371.8,8.0,4.0,8.0,10.0,0.0,-6.0
0,6,2014,TAM,BAL,1,4,3,2,0,20.6,23.2,31.2,16.0,295.4,372.8,412.4,360.6,11.0,6.0,9.0,8.0,2.0,-2.0
0,6,2014,MIN,DET,2,3,3,2,0,20.2,19.8,25.2,15.8,335.2,345.2,347.4,282.4,7.0,8.0,5.0,6.0,2.0,2.0
0,6,2014,BUF,NWE,3,2,3,2,0,19.2,24.6,17.8,21.4,325.2,339.8,324.8,316.2,4.0,5.0,10.0,11.0,-6.0,-6.0
0,6,2014,TEN,JAX,1,4,0,5,1,17.6,13.4,27.8,33.8,343.2,272.2,374.2,435.4,7.0,10.0,7.0,4.0,0.0,6.0
0,6,2014,CIN,CAR,3,1,3,2,1,24.25,20.8,19.0,24.0,368.0,326.6,390.75,368.4,4.0,6.0,7.0,10.0,-3.0,-4.0
0,6,2014,OAK,LAC,0,4,4,1,0,12.75,26.6,25.75,12.6,270.0,369.2,365.25,290.8,9.0,2.0,5.0,8.0,4.0,-6.0
0,6,2014,ARI,WAS,3,1,1,4,1,21.5,22.4,21.5,27.2,305.5,393.6,379.25,340.0,3.0,9.0,7.0,4.0,-4.0,5.0
0,6,2014,ATL,CHI,2,3,2,3,0,30.2,23.2,28.6,26.2,434.6,348.6,407.2,362.6,11.0,10.0,9.0,11.0,2.0,-1.0
0,6,2014,SEA,DAL,3,1,4,1,0,27.5,27.0,20.75,20.6,368.25,398.2,317.75,369.8,3.0,10.0,3.0,9.0,0.0,1.0
0,6,2014,PHI,NYG,4,1,3,2,1,31.2,26.6,26.4,22.2,364.4,344.6,406.2,364.0,12.0,10.0,8.0,10.0,4.0,0.0
0,6,2014,LAR,SFO,1,3,3,2,0,21.0,22.0,29.75,21.2,392.75,352.0,344.75,282.8,9.0,5.0,6.0,10.0,3.0,-5.0
0,7,2014,NWE,NYJ,4,2,1,5,1,26.666666666666668,16.0,21.5,26.333333333333332,349.1666666666667,303.3333333333333,319.5,327.1666666666667,5.0,12.0,14.0,3.0,-9.0,9.0
0,7,2014,LAR,SEA,1,4,3,2,1,20.2,26.6,30.0,22.6,376.0,335.8,362.2,334.4,10.0,4.0,7.0,5.0,3.0,-1.0
0,7,2014,CHI,MIA,3,3,2,3,0,23.833333333333332,24.0,24.0,24.8,370.1666666666667,353.2,350.0,331.6,10.0,11.0,12.0,8.0,-2.0,3.0
0,7,2014,JAX,CLE,0,6,3,2,1,13.5,26.8,30.833333333333332,23.0,290.0,383.2,411.1666666666667,409.2,12.0,2.0,4.0,5.0,8.0,-3.0
0,7,2014,IND,CIN,4,2,4,1,1,31.5,26.8,22.666666666666668,22.6,444.0,397.0,340.5,398.8,11.0,6.0,12.0,8.0,-1.0,-2.0
0,7,2014,WAS,TEN,1,5,2,4,1,22.0,17.333333333333332,27.666666666666668,25.5,395.8333333333333,334.3333333333333,336.1666666666667,375.0,13.0,7.0,4.0,9.0,9.0,-2.0
0,7,2014,BAL,ATL,4,2,2,4,1,27.333333333333332,27.333333333333332,16.166666666666668,28.333333333333332,389.8333333333333,410.0,361.1666666666667,419.0,7.0,12.0,9.0,9.0,-2.0,3.0
0,7,2014,GNB,CAR,4,2,3,3,1,26.833333333333332,23.5,21.666666666666668,26.166666666666668,319.1666666666667,344.0,368.0,392.5,4.0,7.0,13.0,12.0,-9.0,-5.0
0,7,2014,DET,NOR,4,2,2,3,1,19.333333333333332,26.4,13.666666666666666,28.2,330.1666666666667,442.8,270.6666666666667,379.6,8.0,10.0,9.0,2.0,-1.0,8.0
0,7,2014,BUF,MIN,3,3,2,4,1,19.666666666666668,17.333333333333332,21.0,23.833333333333332,327.0,314.6666666666667,336.6666666666667,332.0,7.0,10.0,10.0,5.0,-3.0,5.0
0,7,2014,LAC,KAN,5,1,2,3,0,27.333333333333332,23.8,15.166666666666666,20.2,378.1666666666667,335.0,308.3333333333333,341.8,2.0,6.0,9.0,3.0,-7.0,3.0
0,7,2014,OAK,ARI,0,5,4,1,0,15.8,23.2,26.8,21.2,295.2,307.8,376.8,384.8,10.0,3.0,5.0,11.0,5.0,-8.0
0,7,2014,DAL,NYG,5,1,3,3,1,27.5,22.166666666666668,21.0,23.0,398.6666666666667,329.5,342.5,378.0,12.0,11.0,10.0,12.0,2.0,-1.0
0,7,2014,DEN,SFO,4,1,4,2,1,29.4,23.5,20.8,20.5,389.0,365.3333333333333,318.2,287.1666666666667,4.0,6.0,5.0,11.0,-1.0,-5.0
0,7,2014,PIT,HOU,3,3,3,3,1,20.666666666666668,22.0,23.166666666666668,20.0,396.5,337.0,337.0,397.1666666666667,7.0,10.0,6.0,14.0,1.0,-4.0
0,8,2014,DEN,LAC,5,1,5,2,1,31.5,26.285714285714285,20.166666666666668,16.285714285714285,394.0,360.0,316.8333333333333,316.42857142857144,4.0,3.0,6.0,9.0,-2.0,-6.0
0,8,2014,ATL,DET,2,5,5,2,0,24.428571428571427,20.0,28.428571428571427,15.0,387.7142857142857,332.14285714285717,412.14285714285717,290.2857142857143,13.0,10.0,12.0,11.0,1.0,-1.0
0,8,2014,CIN,BAL,4,2,5,2,1,22.333333333333332,27.571428571428573,23.333333333333332,14.857142857142858,353.3333333333333,387.14285714285717,416.6666666666667,345.85714285714283,6.0,10.0,10.0,10.0,-4.0,0.0
0,8,2014,NYJ,BUF,1,6,4,3,0,17.285714285714285,19.285714285714285,26.428571428571427,20.285714285714285,320.42857142857144,333.57142857142856,326.57142857142856,328.0,12.0,11.0,3.0,12.0,9.0,-1.0
0,8,2014,JAX,MIA,1,6,3,3,0,15.0,24.5,27.285714285714285,23.0,296.57142857142856,359.8333333333333,390.42857142857144,313.6666666666667,15.0,11.0,7.0,11.0,8.0,0.0
0,8,2014,NWE,CHI,5,2,3,4,1,26.714285714285715,22.428571428571427,22.0,24.428571428571427,345.42857142857144,349.2857142857143,334.2857142857143,356.14285714285717,5.0,13.0,14.0,12.0,-9.0,1.0
0,8,2014,TEN,HOU,2,5,3,4,0,17.285714285714285,22.142857142857142,24.571428571428573,21.428571428571427,320.2857142857143,345.0,371.57142857142856,387.2857142857143,9.0,13.0,11.0,15.0,-2.0,-2.0
0,8,2014,TAM,MIN,1,5,2,5,0,20.0,17.142857142857142,34.0,22.857142857142858,306.8333333333333,309.14285714285717,422.8333333333333,337.85714285714283,12.0,12.0,10.0,9.0,2.0,3.0
0,8,2014,KAN,LAR,3,3,2,4,1,23.666666666666668,21.5,20.166666666666668,29.333333333333332,340.0,359.1666666666667,326.6666666666667,379.0,6.0,10.0,4.0,7.0,2.0,3.0
0,8,2014,CAR,SEA,3,4,3,3,0,22.571428571428573,26.5,27.857142857142858,23.5,342.14285714285717,357.0,388.2857142857143,324.5,8.0,4.0,12.0,5.0,-4.0,-1.0
0,8,2014,ARI,PHI,5,1,5,1,1,23.333333333333332,30.5,19.833333333333332,22.0,317.3333333333333,378.3333333333333,357.3333333333333,380.8333333333333,4.0,14.0,11.0,9.0,-7.0,5.0
0,8,2014,CLE,OAK,3,3,0,6,1,23.333333333333332,15.333333333333334,23.166666666666668,26.333333333333332,363.6666666666667,282.6666666666667,397.0,374.8333333333333,5.0,10.0,8.0,6.0,-3.0,4.0
0,8,2014,PIT,IND,4,3,5,2,1,22.0,30.857142857142858,23.142857142857142,19.428571428571427,386.7142857142857,452.85714285714283,345.0,311.14285714285717,8.0,13.0,9.0,12.0,-1.0,1.0
0,8,2014,NOR,GNB,2,4,5,2,1,25.833333333333332,28.428571428571427,27.5,21.0,437.0,325.42857142857144,373.6666666666667,362.7142857142857,12.0,4.0,4.0,14.0,8.0,-10.0
0,8,2014,DAL,WAS,6,1,2,5,0,28.0,21.571428571428573,21.0,26.142857142857142,402.14285714285717,389.42857142857144,343.85714285714283,321.85714285714283,13.0,15.0,12.0,6.0,1.0,9.0
0,9,2014,CAR,NOR,3,5,3,4,0,20.875,28.428571428571427,26.0,26.857142857142858,332.625,445.2857142857143,378.5,390.42857142857144,10.0,13.0,14.0,7.0,-4.0,6.0
0,9,2014,CIN,JAX,5,2,1,7,1,23.0,14.75,23.428571428571427,27.25,352.85714285714283,306.625,399.14285714285717,382.375,8.0,18.0,12.0,8.0,-4.0,10.0
0,9,2014,MIA,LAC,4,3,5,3,1,24.857142857142858,25.625,21.571428571428573,18.625,355.0,353.25,322.7142857142857,330.0,12.0,5.0,14.0,9.0,-2.0,-4.0
0,9,2014,CLE,TAM,4,3,1,6,1,23.285714285714285,19.0,21.714285714285715,31.857142857142858,355.42857142857144,295.14285714285717,395.57142857142856,409.85714285714283,5.0,14.0,11.0,10.0,-6.0,4.0
0,9,2014,KAN,NYJ,4,3,1,7,1,25.142857142857142,18.0,18.285714285714285,28.5,342.14285714285717,319.375,308.57142857142856,320.75,7.0,18.0,5.0,3.0,2.0,15.0
0,9,2014,MIN,WAS,3,5,3,5,1,17.375,21.375,21.625,25.0,312.0,391.875,323.75,331.0,12.0,16.0,11.0,8.0,1.0,8.0
0,9,2014,HOU,PHI,4,4,5,2,0,23.125,29.0,20.75,22.285714285714285,352.5,398.7142857142857,379.625,383.57142857142856,13.0,17.0,17.0,10.0,-4.0,7.0
0,9,2014,DAL,ARI,6,2,6,1,0,26.625,23.428571428571427,20.875,19.857142857142858,401.25,329.14285714285717,352.0,380.7142857142857,15.0,5.0,13.0,14.0,2.0,-9.0
0,9,2014,SFO,LAR,4,3,2,5,0,22.571428571428573,19.428571428571427,23.571428571428573,30.0,357.42857142857144,336.42857142857144,306.0,375.57142857142856,7.0,11.0,11.0,8.0,-4.0,3.0
0,9,2014,NWE,DEN,6,2,6,1,1,29.75,32.0,22.125,20.285714285714285,363.125,398.42857142857144,340.5,315.2857142857143,5.0,4.0,16.0,8.0,-11.0,-4.0
0,9,2014,SEA,OAK,4,3,0,7,1,24.571428571428573,15.0,21.428571428571427,25.857142857142858,350.2857142857143,297.57142857142856,316.14285714285717,365.0,6.0,13.0,7.0,6.0,-1.0,7.0
0,9,2014,PIT,BAL,5,3,5,3,1,25.625,27.125,24.5,16.375,418.25,375.5,357.875,346.375,10.0,12.0,11.0,12.0,-1.0,0.0
0,9,2014,NYG,IND,3,4,5,3,0,22.0,31.25,24.142857142857142,23.375,332.7142857142857,452.25,384.42857142857144,352.125,13.0,15.0,13.0,14.0,0.0,1.0
0,10,2014,CIN,CLE,6,2,5,3,0,24.25,23.125,23.375,21.125,361.625,352.25,394.875,391.75,10.0,7.0,13.0,13.0,-3.0,-6.0
0,10,2014,BUF,KAN,5,3,5,3,0,22.25,25.0,20.625,17.25,326.875,338.0,326.0,315.5,11.0,7.0,18.0,5.0,-7.0,2.0
0,10,2014,DET,MIA,6,2,5,3,1,20.25,26.375,15.75,18.875,338.75,365.75,290.375,304.625,11.0,12.0,12.0,18.0,-1.0,-6.0
0,10,2014,NYJ,PIT,1,8,6,3,1,17.11111111111111,27.555555555555557,28.0,24.333333333333332,324.3333333333333,413.55555555555554,319.44444444444446,355.0,18.0,11.0,3.0,13.0,15.0,-2.0
0,10,2014,BAL,TEN,5,4,2,6,1,26.666666666666668,17.125,19.333333333333332,25.25,370.6666666666667,321.0,349.6666666666667,375.75,14.0,11.0,13.0,11.0,1.0,0.0
0,10,2014,NOR,SFO,4,4,4,4,0,28.375,21.0,24.75,22.25,436.5,345.625,370.5,291.875,15.0,9.0,9.0,13.0,6.0,-4.0
0,10,2014,TAM,ATL,1,7,2,6,0,18.75,24.0,30.625,27.625,303.875,375.625,399.875,408.75,16.0,14.0,12.0,13.0,4.0,1.0
0,10,2014,JAX,DAL,1,8,6,3,0,15.666666666666666,25.555555555555557,27.88888888888889,21.666666666666668,313.1111111111111,386.22222222222223,386.8888888888889,350.55555555555554,19.0,17.0,10.0,14.0,9.0,3.0
0,10,2014,OAK,DEN,0,8,6,2,0,16.125,30.625,26.375,23.125,288.625,407.625,360.125,325.625,16.0,6.0,6.0,9.0,10.0,-3.0
0,10,2014,ARI,LAR,7,1,3,5,1,24.0,18.625,19.5,27.5,330.375,318.5,366.375,361.5,6.0,13.0,16.0,10.0,-10.0,3.0
0,10,2014,SEA,NYG,5,3,3,5,1,25.25,22.25,21.75,26.125,347.25,345.875,304.875,391.75,6.0,14.0,10.0,13.0,-4.0,1.0
0,10,2014,GNB,CHI,5,3,3,5,1,27.75,22.5,23.875,27.75,346.125,353.625,379.25,372.5,7.0,15.0,15.0,12.0,-8.0,3.0
0,10,2014,PHI,CAR,6,2,3,6,1,29.25,19.666666666666668,22.125,26.22222222222222,409.25,321.3333333333333,373.125,378.1111111111111,21.0,12.0,11.0,16.0,10.0,-4.0
0,11,2014,MIA,BUF,5,4,5,4,1,25.22222222222222,21.22222222222222,19.0,20.22222222222222,350.44444444444446,331.0,309.77777777777777,320.6666666666667,14.0,14.0,19.0,19.0,-5.0,-5.0
0,11,2014,LAR,DEN,3,6,7,2,1,18.11111111111111,31.77777777777778,27.88888888888889,22.444444444444443,310.22222222222223,414.6666666666667,358.55555555555554,314.1111111111111,16.0,8.0,11.0,12.0,5.0,-4.0
